teamName,agents,website,facebook,instagram,linkedin,phone,company,network,location,avgHomePrice,latestVolume,latestTransactions,url
"The Mary Monkhouse Group","5","http://www.compass.com/agents/mary-monkhouse-group","","https://www.instagram.com/mary-monkhousegroup","","(214) 502-1884","Compass","Compass","Dallas, TX","$1,220,021","$54.90M","45","https://www.realtrends.com/team-profile/themarymonkhousegroup-texas-compass/"
"Patek + Jones Group","3","","","","","","Compass","Compass","Austin, TX","$2,880,161","$54.72M","19","https://www.realtrends.com/team-profile/patek-jonesgroup-texas-compass/"
"Andy Allen Team","5","","","","","(512) 201-1753","Keller Williams Realty","Keller Williams","Austin, TX","$939,850","$54.51M","58","https://www.realtrends.com/team-profile/andyallenteam-texas-kellerwilliamsrealty/"
"Bridgette Harrington Group","5","","","","","(214) 502-1884","Compass","Compass","Dallas, TX","$620,162","$51.47M","83","https://www.realtrends.com/team-profile/bridgetteharringtongroup-texas-compass/"
"The B-W Group","3","","","","","","Compass","Compass","Dallas, TX","$901,290","$51.37M","57","https://www.realtrends.com/team-profile/theb-wgroup-texas-compass/"
"Gretchen and Elly Group","5","","","","","","Compass","Compass","Dallas, TX","$1,318,755","$48.79M","37","https://www.realtrends.com/team-profile/gretchenandellygroup-texas-compass/"
"Elevated Realty Group","3","https://www.redfin.com/","","","","","Redfin","Redfin","McKinney, TX","$566,921","$48.76M","86","https://www.realtrends.com/team-profile/elevatedrealtygroup-texas-redfin/"
"Gianna Cerullo Team","2","","","","","","Compass","Compass","Dallas, TX","$2,189,364","$48.17M","22","https://www.realtrends.com/team-profile/giannacerulloteam-texas-compass/"
"Wood Sundby Group","2","","","","","","Compass","Compass","Dallas, TX","$1,980,826","$47.54M","24","https://www.realtrends.com/team-profile/woodsundbygroup-texas-compass/"
"Haven Realty Group","2","https://www.dallashaven.com/","https://www.facebook.com/Dallas.HavenRealtyGroup/","https://www.instagram.com/dallas.haven","","(469) 404-2757","RE/MAX DFW Associates VIII","RE/MAX","Dallas, TX","$604,577","$47.16M","78","https://www.realtrends.com/team-profile/havenrealtygroup-texas-re-maxdfwassociatesviii/"
"The North Texas Team","4","","","","","","Compass","Compass","Argyle, TX","$1,374,191","$46.72M","34","https://www.realtrends.com/team-profile/thenorthtexasteam-texas-compass/"
"Beckye Evans Team","3","","","","","","Coldwell Banker Apex, Realtors","Coldwell Banker","Wylie, TX","$412,315","$20.62M","50","https://www.realtrends.com/team-profile/beckyeevansteam-texas-coldwellbankerapexrealtors/"
"Collins Real Estate Team","4","","","","","(210) 696-9996","Keller Williams Realty","Keller Williams","San Antonio, TX","$447,854","$20.60M","46","https://www.realtrends.com/team-profile/collinsrealestateteam-texas-kellerwilliamsrealty/"
"Fay Realty Team","4","https://www.northernhoustonhomes.com/","","","","(832) 732-2630","Coldwell Banker Realty","Coldwell Banker","The Woodlands, TX","$591,656","$20.59M","34.8","https://www.realtrends.com/team-profile/fayrealtyteam-texas-coldwellbankerrealty/"
"Kim Elmer Group","3","https://www.kimelmerrealty.com/","","","","(940) 391-1463","Coldwell Banker Apex, Realtors","Coldwell Banker","Plano, TX","$514,188","$20.57M","40","https://www.realtrends.com/team-profile/kimelmergroup-texas-coldwellbankerapexrealtors/"
"Strait Luxury Team","3","","","","","(210) 790-3277","Keller Williams Realty","Keller Williams","San Antonio, TX","$1,209,326","$20.56M","17","https://www.realtrends.com/team-profile/straitluxuryteam-texas-kellerwilliamsrealty/"
"1825 Realty Group","2","","","","","(817) 525-0851","Keller Williams Realty Brazos Valley","Keller Williams","College Station, TX","$466,348","$20.52M","44","https://www.realtrends.com/team-profile/1825realtygroup-texas-kellerwilliamsrealtybrazosvalley/"
"Heather Brown Team","2","","","","","(512) 751-2931","RE/MAX Fine Properties","RE/MAX","Austin, TX","$512,955","$20.52M","40","https://www.realtrends.com/team-profile/heatherbrownteam-texas-re-maxfineproperties/"
"The Bain Group","3","https://www.baintx.com/","","https://www.instagram.com/thebaingroup","","(469) 667-9500","Better Homes and Gardens Real Estate Gary Greene","Better Homes and Gardens","Houston, TX","$525,985","$20.51M","39","https://www.realtrends.com/team-profile/thebaingroup-texas-betterhomesandgardensrealestategarygreene/"
"CV Properties Real Estate Group","2","https://www.phyllisbrowning.com/realestate/agent/carolyn-thornton/","","","","(210) 872-5762","Phyllis Browning Company","LeadingRE","San Antonio, TX","$703,072","20.39M","29","https://www.realtrends.com/team-profile/cvpropertiesrealestategroup-texas-phyllisbrowningcompany/"
"Ironclad Realty Group","2","","","","","(281) 599-7600","Keller Williams Signature","Keller Williams","Katy, TX","$384,391","$20.37M","53","https://www.realtrends.com/team-profile/ironcladrealtygroup-texas-kellerwilliamssignature/"
"The Hulkowich Group","2","","","","","(972) 801-2425","RE/MAX DFW Associates V","RE/MAX","Frisco, TX","$520,991","$20.32M","39","https://www.realtrends.com/team-profile/thehulkowichgroup-texas-re-maxdfwassociatesv/"
"eRealty Group","5","","","","","(210) 854-9326","Keller Williams Realty Heritage","Keller Williams","San Antonio, TX","$374,599","$20.30M","54.2","https://www.realtrends.com/team-profile/erealtygroup-texas-kellerwilliamsrealtyheritage/"
"Schneider Realty Group","3","https://www.gayleschneider.com/","","https://www.instagram.com/schneider.realtygroup.com","","(214) 563-7755","Compass","Compass","Dallas, TX","$1,267,938","$20.29M","16","https://www.realtrends.com/team-profile/schneiderrealtygroup-texas-compass/"
"Warmke Real Estate Group","2","https://www.warmkerealestate.com/","https://www.facebook.com/WarmkeREGroup","https://www.instagram.com/warmkeregroup/","","(210) 240-5714","Keller Williams Realty Heritage","Keller Williams","San Antonio, TX","$375,135","$20.26M","54","https://www.realtrends.com/team-profile/warmkerealestategroup-texas-kellerwilliamsrealtyheritage/"
"The Dea Driffill Group","3","","","","","","Coldwell Banker D'Ann Harper, Realtors","Coldwell Banker","San Antonio, TX","$368,106","$20.25M","55","https://www.realtrends.com/team-profile/thedeadriffillgroup-texas-coldwellbankerd-annharperrealtors/"
"The Stewart Team","4","https://www.stewartteamtx.com/","","https://www.instagram.com/stewartteamtx","https://www.linkedin.com/in/stewartteamtx","(832) 724-4402","Compass","Compass","Sugar Land, TX","$421,441","$20.23M","48","https://www.realtrends.com/team-profile/thestewartteam-texas-compass/"
"Brandi Jackson Real Estate Group","2","https://www.har.com/brandijackson","https://www.facebook.com/brandijacksonrealtor/","https://www.instagram.com/brandijackson.realestate/","https://www.linkedin.com/in/brandi-jackson-b826a723b/","(512) 791-9447","Berkshire Hathaway HomeServices Premier Properties","Berkshire Hathaway HomeServices","The Woodlands, TX","$532,240","$20.23M","38","https://www.realtrends.com/team-profile/brandijacksonrealestategroup-texas-berkshirehathawayhomeservicespremierproperties/"
"The Dona Timm Team","4","https://www.briggsfreeman.com/","","","","(972) 333-3370","Briggs Freeman Sotheby's International Realty","Sotheby's International Realty","Plano, TX","$1,263,925","$20.22M","16","https://www.realtrends.com/team-profile/thedonatimmteam-texas-briggsfreemansotheby-sinternationalrealty/"
"Cinco Ranch Realty Group","5","https://cincoranchrealtygroup.com/","https://www.facebook.com/cincoranchrealtygroup/?locale=fr_CA","https://www.instagram.com/cinco_ranch_realty_group/","https://www.linkedin.com/company/cincoranchrealtygroup","(832) 236-0699","Compass","Compass","Katy, TX","$449,379","$20.22M","45","https://www.realtrends.com/team-profile/cincoranchrealtygroup-texas-compass/"
"Hacker Property Group","2","https://www.briggsfreeman.com/","","","","(972) 365-1677","Briggs Freeman Sotheby's International Realty","Sotheby's International Realty","Southlake, TX","$673,939","$20.22M","30","https://www.realtrends.com/team-profile/hackerpropertygroup-texas-briggsfreemansotheby-sinternationalrealty/"
"Ottsome Realty Team","2","","","","","(469) 631-1050","Keller Williams Realty Allen","Keller Williams","Allen, TX","$468,864","$20.07M","42.8","https://www.realtrends.com/team-profile/ottsomerealtyteam-texas-kellerwilliamsrealtyallen/"
"Emerald Team DFW","3","https://www.emeraldteamdfw.com/","","","","(817) 454-8633","Better Homes and Gardens Real Estate Winans","Better Homes and Gardens","Arlington, TX","$455,995","$20.06M","44","https://www.realtrends.com/team-profile/emeraldteamdfw-texas-betterhomesandgardensrealestatewinans/"
"Theory Residential Group","3","https://www.theoryresidentialgroup.com/","","https://www.instagram.com/theoryresidentialgroup","","(214) 205-6883","Compass","Compass","Dallas, TX","$643,771","$19.96M","31","https://www.realtrends.com/team-profile/theoryresidentialgroup-texas-compass/"
"The Advisory Team","2","","","","","","Compass","Compass","Dallas, TX","$551,496","$19.85M","36","https://www.realtrends.com/team-profile/theadvisoryteam-texas-compass/"
"Susan Reames Real Estate Team","4","","","","","","Coldwell Banker Realty","Coldwell Banker","Austin, TX","$460,043","$19.78M","43","https://www.realtrends.com/team-profile/susanreamesrealestateteam-texas-coldwellbankerrealty/"
"Mike Spear Group","4","","","","","","Compass","Compass","Houston, TX","$760,642","$19.78M","26","https://www.realtrends.com/team-profile/mikespeargroup-texas-compass/"
"Henry Residential","2","","","","","","Compass","Compass","Austin, TX","$859,362","$19.77M","23","https://www.realtrends.com/team-profile/henryresidential-texas-compass/"
"Marcey Rogers Team","5","","","","","","Berkshire Hathaway HomeServices Premier Properties","Berkshire Hathaway HomeServices","Kingwood, TX","$371,494","$19.69M","53","https://www.realtrends.com/team-profile/marceyrogersteam-texas-berkshirehathawayhomeservicespremierproperties/"
"The Prime Group","2","","","","","(512) 966-9936","Keller Williams Realty Lone Star","Keller Williams","Georgetown, TX","$427,748","$19.68M","46","https://www.realtrends.com/team-profile/theprimegroup-texas-kellerwilliamsrealtylonestar/"
"Real Time Realty Group","3","https://www.realtimerealtygrp.com/","https://www.realtrends.com/team-profile/realtimerealtygroup-texas-kellerwilliamsrealty/www.facebook.com/realtimerealtygrp","https://www.realtrends.com/team-profile/realtimerealtygroup-texas-kellerwilliamsrealty/www.instagram.com/realtimerealtygrp","","(512) 300-7647","Keller Williams Realty","Keller Williams","Austin, TX","$364,097","$19.66M","54","https://www.realtrends.com/team-profile/realtimerealtygroup-texas-kellerwilliamsrealty/"
"The Tony Lloyd Team","4","https://www.tonysellslubbock.com/","","","","(806) 549-8669","RE/MAX Lubbock","RE/MAX","Lubbock, TX","$319,576","$19.65M","61.5","https://www.realtrends.com/team-profile/thetonylloydteam-texas-re-maxlubbock/"
"Easley Group","3","","","","","","Compass","Compass","Austin, TX","$1,034,200","$19.65M","19","https://www.realtrends.com/team-profile/easleygroup-texas-compass/"
"Austin Property Group","5","https://amychachere.remax.com/","","","","(512) 751-5672","RE/MAX Fine Properties","RE/MAX","Austin, TX","$456,701","$19.64M","43","https://www.realtrends.com/team-profile/austinpropertygroup-texas-re-maxfineproperties/"
"Bonifield Team","3","","","","","","Coldwell Banker First Equity","Coldwell Banker","Amarillo, TX","$343,895","$19.60M","57","https://www.realtrends.com/team-profile/bonifieldteam-texas-coldwellbankerfirstequity/"
"Vaughan Real Estate Group","4","https://liveatlakelivingston.com/","https://www.facebook.com/LiveatLakeLivingston","https://www.instagram.com/liveatlakelivingston/","","(713) 826-2538","Compass","Compass","Coldspring, TX","$399,234","$19.56M","49","https://www.realtrends.com/team-profile/vaughanrealestategroup-texas-compass/"
"Coco & Team","2","","","","","(512) 801-9788","Keller Williams Realty","Keller Williams","Austin, TX","$415,951","$19.55M","47","https://www.realtrends.com/team-profile/cocoteam-texas-kellerwilliamsrealty/"
"The Corey Young Team","2","https://www.mydallashomegroup.com/","","","","(214) 563-7139","RE/MAX DFW Associates I","RE/MAX","Coppell, TX","$651,165","$19.53M","30","https://www.realtrends.com/team-profile/thecoreyyoungteam-texas-re-maxdfwassociatesi/"
"The Pettitt Group","2","","","","","","Compass","Compass","Austin, TX","$930,180","$19.53M","21","https://www.realtrends.com/team-profile/thepettittgroup-texas-compass/"
"Stacey Feltman Group","2","https://www.ebby.com/bio/staceyfeltmangroup","","","","(214) 356-8368","Ebby Halliday Companies - Ebby Halliday Realtors","LeadingRE, HomeServices of America","Frisco, TX","$590,584","$19.49M","33","https://www.realtrends.com/team-profile/staceyfeltmangroup-texas-ebbyhallidaycompanies-ebbyhallidayrealtors/"
"The Macpherson Group","3","https://www.propertiesbytiffany.com/","","","","(713) 594-9639","RE/MAX ONE - The Woodlands & Spring","RE/MAX","The Woodlands, TX","$778,776","$19.47M","25","https://www.realtrends.com/team-profile/themacphersongroup-texas-re-maxone-thewoodlandsspring/"
"Blessed Life Realty Group","3","https://blessedlifegroup.com/","https://www.facebook.com/KWBlessing/","https://www.instagram.com/blessedlifegroup/","https://www.linkedin.com/in/laura-ivy-blessing/","(512) 789-5087","Keller Williams Realty","Keller Williams","Austin, TX","$540,678","$19.46M","36","https://www.realtrends.com/team-profile/blessedliferealtygroup-texas-kellerwilliamsrealty/"
"Amy and Spencer Cearnal","2","","","","","","Compass","Compass","Fort Worth, TX","$6,478,893","$19.44M","3","https://www.realtrends.com/team-profile/amyandspencercearnal-texas-compass/"
"Pickard Real Estate Group","2","https://www.pickardrealestategroup.com/","https://www.facebook.com/pickardrealestategroup","https://www.instagram.com/pickardrealestategroup/","","(972) 989-2438","Compass","Compass","Highland Village, TX","$462,393","$19.42M","42","https://www.realtrends.com/team-profile/pickardrealestategroup-texas-compass/"
"North Collective Group","4","","","","","","Compass","Compass","Dallas, TX","$842,112","$19.37M","23","https://www.realtrends.com/team-profile/northcollectivegroup-texas-compass/"
"The Abigail Davis Team","2","","","","","","Compass","Compass","Dallas, TX","$538,000","$19.37M","36","https://www.realtrends.com/team-profile/theabigaildavisteam-texas-compass/"
"Lance Powell Team","3","","","","","","Coldwell Banker Legacy","Coldwell Banker","San Angelo, TX","$302,078","$19.33M","64","https://www.realtrends.com/team-profile/lancepowellteam-texas-coldwellbankerlegacy/"
"Berry Boyd Group","3","","","","","","Compass","Compass","Denton, TX","$622,809","$19.31M","31","https://www.realtrends.com/team-profile/berryboydgroup-texas-compass/"
"Jeremy Norman Team","2","","","","","(817) 798-1760","Keller Williams Realty Ellis County","Keller Williams","Waxahachie, TX","$437,699","$19.26M","44","https://www.realtrends.com/team-profile/jeremynormanteam-texas-kellerwilliamsrealtyelliscounty/"
"The Curated Group","3","","","","","","Compass","Compass","Dallas, TX","$1,013,495","$19.26M","19","https://www.realtrends.com/team-profile/thecuratedgroup-texas-compass/"
"The Elite Real Estate Group","2","https://www.redfin.com/","","","","","Redfin","Redfin","Houston, TX","$392,900","$19.25M","49","https://www.realtrends.com/team-profile/theeliterealestategroup-texas-redfin/"
"1Home4U Realty Group","4","https://www.1home4urealtygroup.com/","https://www.facebook.com/1HOME4UREALTYGROUP","https://www.instagram.com/1home4u_realty/","","(830) 739-1670","Keller Williams Realty","Keller Williams","Kerrville, TX","$400,965","$19.25M","48","https://www.realtrends.com/team-profile/1home4urealtygroup-texas-kellerwilliamsrealty/"
"McDonald Group","3","","","","","","Keller Williams Realty Preston Road","Keller Williams","Dallas, TX","$583,182","$19.25M","33","https://www.realtrends.com/team-profile/mcdonaldgroup-texas-kellerwilliamsrealtyprestonroad/"
"Albert & Elaine Cantu","2","","","","","","Compass","Compass","Houston, TX","$534,100","$19.23M","36","https://www.realtrends.com/team-profile/albertelainecantu-texas-compass/"
"Lori Mayo Real Estate Group","4","","","","","817220646-2","CENTURY 21 Judge Fite Company","CENTURY 21","Springtown, TX","$417,893","$19.22M","46","https://www.realtrends.com/team-profile/lorimayorealestategroup-texas-century21judgefitecompany/"
"Bankhead & Silva Group","2","https://www.williamstrew.com/bio/bankheadandsilva","","","","(817) 443-5884","Ebby Halliday Companies - Williams Trew","LeadingRE, HomeServices of America","Fort Worth, TX","$485,715","$19.19M","39.5","https://www.realtrends.com/team-profile/bankheadsilvagroup-texas-ebbyhalliday-companies-williamstrew/"
"Summers Real Estate Group","4","","","","","(361) 225-7900","Keller Williams Realty Coastal Bend","Keller Williams","Corpus Christi, TX","$304,317","$19.17M","63","https://www.realtrends.com/team-profile/summersrealestategroup-texas-kellerwilliamsrealtycoastalbend/"
"Amanda Christensen","2","","","","","","Compass","Compass","Dallas, TX","$833,278","$19.17M","23","https://www.realtrends.com/team-profile/amandachristensen-texas-compass/"
"The Ross Group","3","","","","","","Coldwell Banker D'Ann Harper, Realtors","Coldwell Banker","San Antonio, TX","$638,342","$19.15M","30","https://www.realtrends.com/team-profile/therossgroup-texas-coldwellbankerd-annharperrealtors/"
"Lutz Team","3","https://www.lutzteam.net/","","","","(832) 368-5719","RE/MAX Fine Properties","RE/MAX","Sugar Land, TX","$341,926","$19.15M","56","https://www.realtrends.com/team-profile/lutzteam-texas-re-maxfineproperties/"
"Gina Mullen Team","2","https://www.ginamullen.com/","https://www.facebook.com/gina.g.mullen","https://www.instagram.com/ginamullenrealtydfw/?hl=en","","(682) 888-3217","Keller Williams Realty","Keller Williams","Southlake, TX","$911,569","$19.14M","21","https://www.realtrends.com/team-profile/ginamullenteam-texas-kellerwilliamsrealty/"
"Hamlin Home Team","3","","","","","(713) 594-6119","Keller Williams Realty","Keller Williams","Austin, TX","$992,789","$18.86M","19","https://www.realtrends.com/team-profile/hamlinhometeam-texas-kellerwilliamsrealty/"
"Your Go To DFW Team","3","https://www.yourgotodfw.com/","","","","(817) 403-5409","RE/MAX Cross Country","RE/MAX","Highland Village, TX","$724,006","$18.82M","26","https://www.realtrends.com/team-profile/yourgotodfwteam-texas-re-maxcrosscountry/"
"The Shah Team","2","","","","","(214) 563-9876","Keller Williams Realty","Keller Williams","Frisco, TX","$784,243","$18.82M","24","https://www.realtrends.com/team-profile/theshahteam-texas-kellerwilliamsrealty/"
"Coatney + Davis Group","2","https://www.ebby.com/bio/coatneydavisgroup","","","","(817) 454-6479","Ebby Halliday Companies - Ebby Halliday Realtors","LeadingRE, HomeServices of America","Southlake, TX","$417,816","$18.80M","45","https://www.realtrends.com/team-profile/coatney-davisgroup-texas-ebbyhallidaycompanies-ebbyhallidayrealtors/"
"The Mock Ranches Group","5","https://www.mockranches.com/","https://www.facebook.com/share/16KvpZr5BP/?mibextid=wwXIfr","https://www.instagram.com/mockranches?igsh=cXA2Nzk1dGxmY2x3&utm_source=qr","https://www.linkedin.com/in/kaseymock?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app","(512) 275-6625","Keller Williams Brazos West","Keller Williams","Granbury, TX","$1,342,457","$18.79M","14","https://www.realtrends.com/team-profile/themockranchesgroup-texas-kellerwilliamsbrazoswest/"
"The Hinderliter Group","2","","","","","","Coldwell Banker Apex, Realtors","Coldwell Banker","Fort Worth, TX","$458,332","$18.79M","41","https://www.realtrends.com/team-profile/thehinderlitergroup-texas-coldwellbankerapexrealtors/"
"The Queen Team","4","","","","","(281) 335-0335","KW Clear Lake","Keller Williams","Houston, TX","$288,579","$18.76M","65","https://www.realtrends.com/team-profile/thequeenteam-texas-kwclearlake/"
"The Silerio Team","2","","","","","(214) 535-1337","Keller Williams Realty Legacy","Keller Williams","Plano, TX","$625,245","$18.76M","30","https://www.realtrends.com/team-profile/thesilerioteam-texas-kellerwilliamsrealtylegacy/"
"The Brown Home Team","4","","","","","","Coldwell Banker Apex, Realtors","Coldwell Banker","McKinney, TX","$551,422","$18.75M","34","https://www.realtrends.com/team-profile/thebrownhometeam-texas-coldwellbankerapexrealtors/"
"Wassermann-Hosseiny Team","5","","","","","(817) 307-2303","Keller Williams Realty Preston Road","Keller Williams","Dallas, TX","$585,612","$18.74M","32","https://www.realtrends.com/team-profile/wassermann-hosseinyteam-texas-kellerwilliamsrealtyprestonroad/"
"Key Realty","2","","","","","","KW Laredo","Keller Williams","Laredo, TX","$239,743","$18.70M","78","https://www.realtrends.com/team-profile/keyrealty-texas-kwlaredo/"
"Dillard Team","2","","","","","","Douglas Elliman","Independent/Other","Austin, TX","$1,698,779","$18.69M","11","https://www.realtrends.com/team-profile/dillardteam-texas-douglaselliman/"
"PC Elite","5","","","","","(806) 359-4000","Keller Williams Realty Amarillo","Keller Williams","Amarillo, TX","$228,582","$18.63M","81.5","https://www.realtrends.com/team-profile/pcelite-texas-kellerwilliamsrealtyamarillo/"
"Exposed Homes Group","2","","","","","(210) 493-3030","Keller Williams Realty Heritage","Keller Williams","San Antonio, TX","$351,933","$18.62M","52.9","https://www.realtrends.com/team-profile/exposedhomesgroup-texas-kellerwilliamsrealtyheritage/"
"Sold By Valdez Team","2","https://www.har.com/willvaldez","","","","(281) 346-2099","RE/MAX 5 Star Realty","RE/MAX","Pasadena, TX","$224,120","$18.60M","83","https://www.realtrends.com/team-profile/soldbyvaldezteam-texas-re-max5starrealty/"
"Jill Nelson Realty Group","2","https://www.jillnelsonrealtygroup.com/","https://www.facebook.com/JillNelsonTheRealtor","https://www.instagram.com/jill.the.realtor/","https://www.linkedin.com/in/jill-nelson-94931035/","(214) 632-3627","Coldwell Banker Apex, Realtors","Coldwell Banker","Flower Mound, TX","$516,345","$18.59M","36","https://www.realtrends.com/team-profile/jillnelsonrealtygroup-texas-coldwellbankerapexrealtors/"
"The Bochniak Group","4","","","","","","Coldwell Banker Apex, Realtors","Coldwell Banker","Rockwall, TX","$545,146","$18.53M","34","https://www.realtrends.com/team-profile/thebochniakgroup-texas-coldwellbankerapexrealtors/"
"L&H Real Estate Group","5","","","","","","Rogers Healy and Associates","Independent/Other","Dallas, TX","$385,965","$18.53M","48","https://www.realtrends.com/team-profile/lhrealestategroup-texas-rogershealyandassociates/"
"Remy's Realty Group","2","","","","","(325) 698-3211","KW Synergy","Keller Williams","Abilene, TX","$336,249","$18.49M","55","https://www.realtrends.com/team-profile/remy-srealtygroup-texas-kwsynergy/"
"The Castillo Realty Group","2","https://www.thecastillorealty.com/","https://www.facebook.com/thecastillorealtygroup","https://www.instagram.com/thecastillorealtygroup","","(832) 338-3147","KW Houston Central","Keller Williams","Houston, TX","$298,186","$18.49M","62","https://www.realtrends.com/team-profile/thecastillorealtygroup-texas-kwhoustoncentral/"
"Jeffrey Brown Group","3","https://www.jeffreybrowngroup.com/","","https://www.instagram.com/jeffreybrowngroup","","(512) 772-5797","Compass","Compass","Austin, TX","$710,772","$18.48M","26","https://www.realtrends.com/team-profile/jeffreybrowngroup-texas-compass/"
"The Tapp Team","4","https://www.amytapp.com/","https://www.facebook.com/TheTappTeamLBK","https://www.instagram.com/amytapp/?hl=en","https://www.linkedin.com/in/amy-tapp-abr-realtor-broker-9b48b44/","(806) 773-9972","Amy Tapp Realty","Independent/Other","Lubbock, TX","$267,448","$18.45M","69","https://www.realtrends.com/team-profile/thetappteam-texas-amytapprealty/"
"The Property Joes","3","","","","","(281) 650-4658","Keller Williams Memorial","Keller Williams","Houston, TX","$435,883","$18.44M","42.3","https://www.realtrends.com/team-profile/thepropertyjoes-texas-kellerwilliamsmemorial/"
"The Marks Group","3","https://nathanmarks.remax.com/","","","","(713) 419-3284","RE/MAX Integrity","RE/MAX","Tomball, TX","$400,185","$18.41M","46","https://www.realtrends.com/team-profile/themarksgroup-texas-re-maxintegrity/"
"Beatriz Manchado Real Estate Group","4","","","","","","Compass","Compass","Houston, TX","$706,393","$18.37M","26","https://www.realtrends.com/team-profile/beatrizmanchadorealestategroup-texas-compass/"
"Empire Real Estate Team","5","","","","","(210) 493-3030","Keller Williams Realty Heritage","Keller Williams","San Antonio, TX","$290,707","$18.31M","63","https://www.realtrends.com/team-profile/empirerealestateteam-texas-kellerwilliamsrealtyheritage/"
"Dana Johnson Team","2","https://www.danajohnsonteam.com/","","","","(409) 351-2103","RE/MAX One","RE/MAX","Beaumont, TX","$277,394","$18.31M","66","https://www.realtrends.com/team-profile/danajohnsonteam-texas-re-maxone/"
"Underwood Team","5","","","","","","Compass","Compass","Austin, TX","$586,753","$18.19M","31","https://www.realtrends.com/team-profile/underwoodteam-texas-compass/"
"The Brown Group","2","","","","","","Compass","Compass","Houston, TX","$672,860","$18.17M","27","https://www.realtrends.com/team-profile/thebrowngroup-texas-compass/"
"The Grimes Group","2","","","","","(210) 818-2882","Keller Williams Realty","Keller Williams","San Antonio, TX","$1,815,906","$18.16M","10","https://www.realtrends.com/team-profile/thegrimesgroup-texas-kellerwilliamsrealty/"
"The Russell-Rose Team","5","https://trrtconnie.com/","","","","(325) 627-6556","RE/MAX Fine Properties","RE/MAX","Sugar Land, TX","$210,767","$18.13M","86","https://www.realtrends.com/team-profile/therussell-roseteam-texas-re-maxfineproperties/"
"Karen LaVorgna Group","2","https://www.karenlavorgna.com/","https://www.facebook.com/Karenlincoln","","https://www.linkedin.com/karenlavorgna","","Compass","Compass","Dallas, TX","$582,473","$18.06M","31","https://www.realtrends.com/team-profile/karenlavorgnagroup-texas-compass/"
"The Heshmat Team","3","","","","","(210) 493-3030","Keller Williams Realty Heritage","Keller Williams","San Antonio, TX","$476,469","$18.01M","37.8","https://www.realtrends.com/team-profile/theheshmatteam-texas-kellerwilliamsrealtyheritage/"
"The Christenberry Group","3","https://www.christenberrygroup.com/","https://www.realtrends.com/team-profile/thechristenberrygroup-texas-kellerwilliamslonestardfw/www.facebook.com/TheChristenberryGroup","https://www.instagram.com/thechristenberrygroup","","(817) 504-4338","Keller Williams Lonestar DFW","Keller Williams","Arlington, TX","$418,509","$18.00M","43","https://www.realtrends.com/team-profile/thechristenberrygroup-texas-kellerwilliamslonestardfw/"
"Best SA Homes Real Estate Team","2","","","","","(210) 718-2583","Keller Williams Realty Heritage","Keller Williams","San Antonio, TX","$499,764","$17.99M","36","https://www.realtrends.com/team-profile/bestsahomesrealestateteam-texas-kellerwilliamsrealtyheritage/"
"The Flores Realty Group","3","","","","","(361) 442-4994","Keller Williams Realty Coastal Bend","Keller Williams","Corpus Christi, TX","$469,726","$17.99M","38.3","https://www.realtrends.com/team-profile/thefloresrealtygroup-texas-kellerwilliamsrealtycoastalbend/"
"Forward Real Estate","2","","https://www.facebook.com/forwardrealestateTX","https://www.instagram.com/forwardrealestatetx","https://www.linkedin.com/company/forward-real-estate-tx/","(210) 364-6862","Forward Real Estate","SIDE","San Antonio, TX","$472,418","$17.95M","38","https://www.realtrends.com/team-profile/forwardrealestate-texas-forwardrealestate/"
"The Atwal Group","2","","","","","","Compass","Compass","Dallas, TX","$815,952","$17.95M","22","https://www.realtrends.com/team-profile/theatwalgroup-texas-compass/"
"Volkmer Real Estate Group","4","","","","","(210) 696-9996","Keller Williams Realty","Keller Williams","San Antonio, TX","$428,389","$17.95M","41.9","https://www.realtrends.com/team-profile/volkmerrealestategroup-texas-kellerwilliamsrealty/"
"The Brandon & Tiffany Baker Group","2","https://soldbybaker.com/","","https://www.instagram.com/soldbybaker/","","(832) 326-4643","RE/MAX Integrity","RE/MAX","Tomball, TX","$578,997","$17.95M","31","https://www.realtrends.com/team-profile/thebrandontiffanybakergroup-texas-re-maxintegrity/"
"CL Square Team","2","","","","","(325) 320-7947","Keller Williams Realty Allen","Keller Williams","Allen, TX","$560,462","$17.93M","32","https://www.realtrends.com/team-profile/clsquareteam-texas-kellerwilliamsrealtyallen/"
"The Esther Cordova Team","5","https://www.esthercordova.com/","","","","(832) 257-5636","RE/MAX Integrity","RE/MAX","Tomball, TX","$186,785","$17.93M","96","https://www.realtrends.com/team-profile/theesthercordovateam-texas-re-maxintegrity/"
"Ben Kinney Team DFW South","3","","","","","(972) 824-4050","Keller Williams Realty Ellis County","Keller Williams","Waxahachie, TX","$363,949","$17.87M","49.1","https://www.realtrends.com/team-profile/benkinneyteamdfwsouth-texas-kellerwilliamsrealtyelliscounty/"
"Amada Agency Real Estate","5","","","","","","Amada Agency Real Estate","SIDE","Houston, TX","$329,909","$17.82M","54","https://www.realtrends.com/team-profile/amadaagencyrealestate-texas-amadaagencyrealestate/"
"Stevie Chaddick Real Estate Group","2","","","","","","Compass","Compass","Dallas, TX","$809,569","$17.81M","22","https://www.realtrends.com/team-profile/steviechaddickrealestategroup-texas-compass/"
